strategies,parameters,total_return,sharpe_ratio,max_drawdown,num_trades,win_rate,t_statistic,p_value
MACD + SMA,"{'MACD': {'fast_period': 12, 'slow_period': 26, 'signal_period': 9}, 'SMA': {'fast_period': 8, 'slow_period': 20}}",0.1122500000000764,0.08951880617710228,2.170178239171915,168,55.08982035928144,-0.29076668756929175,0.7712300536640138
MACD + SMA,"{'MACD': {'fast_period': 12, 'slow_period': 30, 'signal_period': 9}, 'SMA': {'fast_period': 5, 'slow_period': 20}}",-0.767350000000024,-0.40296743232109794,3.0356473600712466,375,33.9572192513369,-0.19026550608329934,0.8491012672308261
MACD + SMA,"{'MACD': {'fast_period': 12, 'slow_period': 26, 'signal_period': 9}, 'SMA': {'fast_period': 8, 'slow_period': 25}}",-0.18469999999977518,-0.1444893769050044,2.601635347866813,167,51.204819277108435,-0.2926874414281419,0.769761361212312
MACD + SMA,"{'MACD': {'fast_period': 12, 'slow_period': 30, 'signal_period': 9}, 'SMA': {'fast_period': 5, 'slow_period': 25}}",-1.598150000000023,-0.9170622159810531,2.2428298336181043,314,39.29712460063898,-0.23562067161683817,0.8137272627593745
MACD + SMA,"{'MACD': {'fast_period': 12, 'slow_period': 30, 'signal_period': 9}, 'SMA': {'fast_period': 8, 'slow_period': 25}}",-0.18469999999977518,-0.1444893769050044,2.601635347866813,167,51.204819277108435,-0.2926874414281419,0.769761361212312
MACD + SMA,"{'MACD': {'fast_period': 12, 'slow_period': 30, 'signal_period': 9}, 'SMA': {'fast_period': 8, 'slow_period': 20}}",0.1122500000000764,0.08951880617710228,2.170178239171915,168,55.08982035928144,-0.29076668756929175,0.7712300536640138
MACD + SMA,"{'MACD': {'fast_period': 15, 'slow_period': 26, 'signal_period': 9}, 'SMA': {'fast_period': 5, 'slow_period': 20}}",-0.767350000000024,-0.40296743232109794,3.0356473600712466,375,33.9572192513369,-0.19026550608329934,0.8491012672308261
RSI + BB,"{'RSI': {'oversold': 35, 'overbought': 70}, 'BB': {'period': 20, 'std_dev': 2.0}}",0.7110500000001048,0.19607063224614513,2.1576741515911633,1423,65.40084388185655,0.12256922378698523,0.9024483446046201
RSI + BB,"{'RSI': {'oversold': 35, 'overbought': 65}, 'BB': {'period': 20, 'std_dev': 2.0}}",1.0784000000001106,0.27200418348030453,2.1357207720505285,1697,67.98349056603774,0.17693792227533775,0.8595573226958451
MACD + SMA,"{'MACD': {'fast_period': 15, 'slow_period': 26, 'signal_period': 9}, 'SMA': {'fast_period': 5, 'slow_period': 25}}",-1.598150000000023,-0.9170622159810531,2.2428298336181043,314,39.29712460063898,-0.23562067161683817,0.8137272627593745
MACD + SMA,"{'MACD': {'fast_period': 15, 'slow_period': 26, 'signal_period': 9}, 'SMA': {'fast_period': 8, 'slow_period': 20}}",0.1122500000000764,0.08951880617710228,2.170178239171915,168,55.08982035928144,-0.29076668756929175,0.7712300536640138
MACD + SMA,"{'MACD': {'fast_period': 15, 'slow_period': 30, 'signal_period': 9}, 'SMA': {'fast_period': 5, 'slow_period': 20}}",-0.767350000000024,-0.40296743232109794,3.0356473600712466,375,33.9572192513369,-0.19026550608329934,0.8491012672308261
MACD + SMA,"{'MACD': {'fast_period': 15, 'slow_period': 26, 'signal_period': 9}, 'SMA': {'fast_period': 8, 'slow_period': 25}}",-0.18469999999977518,-0.1444893769050044,2.601635347866813,167,51.204819277108435,-0.2926874414281419,0.769761361212312
